Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014
Arab World,ARB,GDP per capita (current US$),6032.96195685802,7005.47954059534,7571.40240297227,7715.99867662883,
Arab World,ARB,"GDP, PPP (current international $)",5022945300498.84,5265229762090.07,5696576524529.13,5935614052960.73,
Arab World,ARB,GNI (current US$),2072483536406.82,2515668708600.08,2755869171282.75,2846448018088.26,
Arab World,ARB,"GNI per capita, Atlas method (current US$)",5913.74479400922,6305.64406388715,7196.53273639369,,
Arab World,ARB,"GNI per capita, PPP (current international $)",14284.0231771696,14996.1560339432,15846.498202267,16141.5602516837,
Arab World,ARB,"GNI, PPP (current international $)",4967083881784.26,5325690585241.99,5743826784830.3,5968527902258.82,
Arab World,ARB,Government expenditure in educational institutions as % of GDP (%),,,,,
Arab World,ARB,"Gross enrolment ratio, lower secondary, female (%)",81.2611312866211,82.2045516967773,82.5439605712891,79.9526977539063,81.0540008544922
Arab World,ARB,"Gross enrolment ratio, lower secondary, male (%)",90.0585174560547,90.7874984741211,90.9178695678711,87.9831237792969,89.6318817138672
Arab World,ARB,"Gross enrolment ratio, post-secondary non-tertiary, female (%)",,,,,
Arab World,ARB,"Gross enrolment ratio, post-secondary non-tertiary, male (%)",,,,,
Arab World,ARB,"Gross enrolment ratio, pre-primary, female (%)",22.68922996521,23.2697696685791,23.5944900512695,23.4065608978271,25.3706893920898
Arab World,ARB,"Gross enrolment ratio, pre-primary, male (%)",24.3897590637207,23.9442501068115,24.497350692749,23.5202808380127,25.6278305053711
Arab World,ARB,"Gross enrolment ratio, primary and lower secondary, female (%)",89.5616683959961,89.422477722168,90.9963531494141,89.3017807006836,89.5520401000977
Arab World,ARB,"Gross enrolment ratio, primary and lower secondary, male (%)",97.7227478027344,97.7797012329102,98.5476608276367,96.5746002197266,96.8479232788086
Arab World,ARB,"Gross enrolment ratio, primary and secondary, female (%)",79.459587097168,80.5232162475586,82.1633834838867,80.9161834716797,81.1768112182617
Arab World,ARB,"Gross enrolment ratio, primary and secondary, male (%)",85.8987197875977,87.1445388793945,88.3126983642578,86.9095611572266,87.2408599853516
Arab World,ARB,"Gross enrolment ratio, primary to tertiary, female (%)",64.1245880126953,64.7080001831055,66.4030914306641,66.0665283203125,66.6695022583008
Arab World,ARB,"Gross enrolment ratio, primary to tertiary, male (%)",68.2816772460938,69.0149002075195,70.3184814453125,70.0796813964844,70.7298965454102
Arab World,ARB,"Gross enrolment ratio, primary, female (%)",93.979621887207,93.2155380249023,95.3758087158203,94.0779113769531,93.6080017089844
Arab World,ARB,"Gross enrolment ratio, primary, male (%)",101.795532226563,101.4521484375,102.505836486816,100.970001220703,100.295463562012
Arab World,ARB,"Gross enrolment ratio, secondary, female (%)",65.4748611450195,68.1503829956055,69.0837631225586,67.6725006103516,67.968879699707
Arab World,ARB,"Gross enrolment ratio, secondary, male (%)",70.5269165039063,73.1343994140625,74.2392501831055,72.7627182006836,73.3778991699219
Arab World,ARB,"Gross enrolment ratio, tertiary, female (%)",25.2890892028809,24.8256301879883,26.55837059021,27.8220901489258,28.7679996490479
Arab World,ARB,"Gross enrolment ratio, tertiary, male (%)",24.2632007598877,23.7501602172852,25.0346698760986,26.8644504547119,27.6124095916748
Arab World,ARB,"Gross enrolment ratio, upper secondary, female (%)",48.8707008361816,53.388671875,54.9092216491699,54.6823501586914,54.5065307617188
Arab World,ARB,"Gross enrolment ratio, upper secondary, male (%)",49.8823204040527,54.4416618347168,56.5712203979492,56.6173782348633,56.6393089294434
Arab World,ARB,"Literacy rate, population 25-64 years, both sexes (%)",,,,,
Arab World,ARB,"Literacy rate, population 25-64 years, female (%)",,,,,
Arab World,ARB,"Literacy rate, population 25-64 years, male (%)",,,,,
East Asia & Pacific,EAS,GDP per capita (current US$),7679.83420346662,8844.82299650575,9402.7228454186,9447.70106725709,9665.05607927331
East Asia & Pacific,EAS,"GDP, PPP (current international $)",25860226917295.8,28005910603514.5,30138368731738.8,32422811535130.9,34611612708124.3
East Asia & Pacific,EAS,GNI (current US$),17016310690287.1,19691534681940.8,21112966455609.4,21306055822662.9,22037342979925.1
East Asia & Pacific,EAS,"GNI per capita, Atlas method (current US$)",7340.78329957566,8139.09970357477,9098.57881533116,9704.78124396991,9924.2089988475
East Asia & Pacific,EAS,"GNI per capita, PPP (current international $)",11738.6724875085,12601.058098142,13499.9912782139,14389.1083362934,15330.4720068522
East Asia & Pacific,EAS,"GNI, PPP (current international $)",25890990698156.7,27978858770557.9,30178290349554.5,32383439407894.3,34737286733219.3
East Asia & Pacific,EAS,Government expenditure in educational institutions as % of GDP (%),,,,,
East Asia & Pacific,EAS,"Gross enrolment ratio, lower secondary, female (%)",96.2150726318359,98.1940307617188,99.2199783325195,98.558708190918,96.6641235351563
East Asia & Pacific,EAS,"Gross enrolment ratio, lower secondary, male (%)",95.3794326782227,97.7393417358398,98.5243072509766,97.7238998413086,95.5255889892578
East Asia & Pacific,EAS,"Gross enrolment ratio, post-secondary non-tertiary, female (%)",,,,,
East Asia & Pacific,EAS,"Gross enrolment ratio, post-secondary non-tertiary, male (%)",,,,,
East Asia & Pacific,EAS,"Gross enrolment ratio, pre-primary, female (%)",56.3090705871582,61.0277214050293,68.6536102294922,73.0016403198242,76.00341796875
East Asia & Pacific,EAS,"Gross enrolment ratio, pre-primary, male (%)",57.8301887512207,62.2911415100098,68.9856262207031,73.0540084838867,76.1875915527344
East Asia & Pacific,EAS,"Gross enrolment ratio, primary and lower secondary, female (%)",104.153701782227,104.71932220459,105.030319213867,104.347671508789,102.11311340332
East Asia & Pacific,EAS,"Gross enrolment ratio, primary and lower secondary, male (%)",104.638702392578,105.190277099609,105.612022399902,104.687149047852,102.317832946777
