Country Name,Country Code,Indicator Name,Indicator Code
Arab World,ARB,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Arab World,ARB,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Arab World,ARB,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Arab World,ARB,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Arab World,ARB,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Arab World,ARB,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
East Asia & Pacific,EAS,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
East Asia & Pacific,EAS,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
East Asia & Pacific,EAS,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
East Asia & Pacific,EAS,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
East Asia & Pacific,EAS,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
East Asia & Pacific,EAS,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
East Asia & Pacific (excluding high income),EAP,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
East Asia & Pacific (excluding high income),EAP,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
East Asia & Pacific (excluding high income),EAP,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
East Asia & Pacific (excluding high income),EAP,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
East Asia & Pacific (excluding high income),EAP,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
East Asia & Pacific (excluding high income),EAP,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Euro area,EMU,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Euro area,EMU,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Euro area,EMU,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Euro area,EMU,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Euro area,EMU,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Euro area,EMU,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Europe & Central Asia,ECS,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Europe & Central Asia,ECS,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Europe & Central Asia,ECS,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Europe & Central Asia,ECS,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Europe & Central Asia,ECS,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Europe & Central Asia,ECS,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Europe & Central Asia (excluding high income),ECA,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Europe & Central Asia (excluding high income),ECA,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Europe & Central Asia (excluding high income),ECA,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Europe & Central Asia (excluding high income),ECA,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Europe & Central Asia (excluding high income),ECA,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Europe & Central Asia (excluding high income),ECA,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
European Union,EUU,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
European Union,EUU,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
