Country Name,Country Code,Indicator Name,Indicator Code,2014
Afghanistan,AFG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,16.09043672
Afghanistan,AFG,"Labor force, total",SL.TLF.TOTL.IN,9567795
Albania,ALB,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,74.06999969
Albania,ALB,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,74.75
Albania,ALB,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,73.33000183
Albania,ALB,Labor force with basic education (% of total),SL.TLF.BASC.ZS,53.08000183
Albania,ALB,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,44.88000107
Albania,ALB,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,62.34999847
Albania,ALB,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,59.33000183
Albania,ALB,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,45.15999985
Albania,ALB,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,70.91000366
Albania,ALB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,41.100853
Albania,ALB,"Labor force, total",SL.TLF.TOTL.IN,1275847
Algeria,DZA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,18.37119454
Algeria,DZA,"Labor force, total",SL.TLF.TOTL.IN,11642569
Angola,AGO,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,50.05192234
Angola,AGO,"Labor force, total",SL.TLF.TOTL.IN,11062676
Argentina,ARG,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,71.44000244
Argentina,ARG,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,66.90000153
Argentina,ARG,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,77.87000275
Argentina,ARG,Labor force with basic education (% of total),SL.TLF.BASC.ZS,48.63999939
Argentina,ARG,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,33.16999817
Argentina,ARG,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,64.19999695
Argentina,ARG,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,69.05999756
Argentina,ARG,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,52.36999893
Argentina,ARG,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,86.37999725
Argentina,ARG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,40.75005563
Argentina,ARG,"Labor force, total",SL.TLF.TOTL.IN,19207402
