country_name,year1,year2
Australia,19493.6,20675.5
Austria,16867.6,20416.6
Belgium,17808.3,20433.6
Bulgaria,6615.5,9546.3
Canada,21330.9,24326.0
Chile,7813.1,9159.6
Colombia,3497.6,5332.8
Croatia,9543.8,9190.4
Czechia,10490.3,16148.1
Denmark,15626.2,21643.3
Estonia,11964.5,17484.7
Finland,17874.6,18124.2
France,16353.8,17403.7
Germany,17145.0,19356.3
Greece,3880.7,3499.0
Hungary,8647.3,13759.2
Iceland,11417.8,15378.1
Ireland,13701.8,17129.5
Israel,13452.9,12506.5
Italy,11438.9,12281.4
Japan,19486.8,19225.4
Latvia,8973.6,10331.4
Lithuania,10049.4,9908.4
Luxembourg,45800.6,48827.8
Mexico,8900.6,7843.6
Netherlands,19234.2,20871.4
NewZealand,14807.4,17236.6
Norway,21009.1,25463.6
OECD-Average,15166.8,17192.9
Poland,8793.4,11182.9
Portugal,11788.3,11778.2
Romania,5718.5,7928.2
SlovakRepublic,11233.5,11991.8
Slovenia,10036.8,14076.5
Spain,12524.1,13803.6
Sweden,24508.8,26131.8
Türkiye,11212.3,10013.3
UnitedKingdom,24345.5,29730.3
UnitedStates,29328.2,34035.5
