country_name,year1,year2
Australia,9258.0,10759.6
Austria,11111.2,13127.8
Belgium,10090.9,11461.0
Bulgaria,2981.8,3831.2
Canada,9202.4,10555.0
Chile,4111.4,6677.6
Colombia,2654.8,3340.4
Croatia,4801.7,6353.4
Czechia,5086.0,6614.0
Denmark,12199.4,12977.5
Estonia,6166.6,8264.7
Finland,8803.0,10030.7
France,7372.9,8715.7
Germany,8580.5,10112.7
Greece,5862.4,6759.9
Hungary,3771.6,5793.2
Iceland,11146.0,14141.0
Ireland,7977.4,8527.8
Israel,7604.8,9535.0
Italy,8144.0,9927.5
Japan,9027.1,8938.5
Latvia,6576.8,6624.9
Lithuania,5288.8,6458.3
Luxembourg,20607.5,20395.0
Mexico,2879.9,2933.9
Netherlands,8394.1,9877.8
NewZealand,6308.9,7001.5
Norway,13151.4,15431.2
OECD-Average,8180.2,9488.9
Poland,7038.8,8555.0
Portugal,7909.3,8811.5
Romania,1880.5,2440.7
SlovakRepublic,6203.1,7232.1
Slovenia,9265.6,9395.6
Spain,7052.5,8330.8
Sweden,11164.8,12903.3
Türkiye,3713.0,3947.1
UnitedKingdom,11276.6,11608.0
UnitedStates,11306.3,13139.3
