primary
country_name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,2 583.3,2 708.0,2 975.0,,,,,,,,,
Australia,8 582.1,9 378.1,9 099.4,8 591.2,9 242.0,9 258.0,9 527.2,10 020.5,10 157.1,10 759.6,11 362.0,12 672.5
Austria,,,,9 872.6,10 864.0,11 111.2,11 692.2,12 495.4,12 677.5,13 127.8,13 683.7,14 029.2
Belgium,,,,9 772.3,10 025.9,10 090.9,10 182.6,10 764.2,10 993.6,11 461.0,12 041.2,12 813.0
Bulgaria,,,,2 455.6,2 710.3,2 981.8,2 861.9,3 174.4,3 372.9,3 831.2,4 557.3,5 211.3
Canada,,9 944.4,8 131.4,9 184.4,9 449.9,9 202.4,9 156.3,9 649.0,10 174.2,10 555.0,10 673.9,11 533.2
Chile,3 266.2,3 330.6,3 815.4,4 563.0,4 484.2,4 111.4,4 183.4,5 131.8,5 947.7,6 677.6,6 114.1,5 917.4
Colombia,1 925.3,,2 053.4,2 234.3,2 556.7,2 654.8,2 898.7,3 107.4,3 198.0,3 340.4,3 765.3,4 363.6
Costa Rica,,,,,4 412.0,,,,,,,
Croatia,,,,4 641.0,4 676.2,4 801.7,,5 532.9,5 897.9,6 353.4,6 920.8,7 317.2
Czechia,5 729.1,5 762.8,6 184.7,4 774.6,4 895.4,5 086.0,5 240.3,5 198.2,5 947.8,6 614.0,7 758.4,8 466.0
Denmark,11 316.7,11 749.1,10 535.1,11 712.2,12 114.4,12 199.4,,11 861.5,12 479.4,12 977.5,13 593.0,14 273.0
Estonia,6 202.8,6 213.5,6 203.1,5 853.2,7 255.6,6 166.6,6 345.5,6 943.9,7 328.6,8 264.7,9 659.7,10 308.8
Finland,8 440.4,8 826.4,9 271.5,8 401.2,8 590.2,8 803.0,9 320.5,9 643.1,9 631.3,10 030.7,10 888.4,11 212.2
France,6 276.1,6 481.5,6 674.8,6 846.1,7 265.2,7 372.9,7 442.4,7 746.3,8 279.7,8 715.7,9 602.4,9 673.3
Germany,,1 938.2,2 017.2,7 750.1,8 149.2,8 580.5,8 652.2,9 171.0,9 518.0,10 112.7,10 955.1,11 587.4
Greece,,,,5 266.5,5 607.9,5 862.4,5 821.6,6 093.4,6 095.5,6 759.9,7 466.9,
Hungary,,,,4 450.4,5 497.9,3 771.6,5 120.3,5 560.3,5 423.3,5 793.2,8 515.2,7 928.5
Iceland,9 754.5,8 797.3,9 216.1,9 905.7,10 412.0,11 146.0,11 235.2,11 913.7,13 152.9,14 141.0,14 743.0,15 205.9
Ireland,,9 741.9,9 848.4,8 730.5,8 127.6,7 977.4,7 471.5,7 668.1,8 180.4,8 527.8,8 914.6,9 588.8
Israel,5 012.0,5 863.8,6 821.8,7 096.6,7 666.1,7 604.8,7 844.7,8 428.3,9 123.8,9 535.0,9 524.3,10 182.0
Italy,8 484.9,8 162.7,7 993.2,7 741.0,8 082.9,8 144.0,8 471.4,8 142.9,9 115.4,9 927.5,10 908.6,12 008.5
Japan,,8 879.1,4 027.7,8 639.6,8 889.5,9 027.1,9 049.5,8 733.5,8 847.3,8 938.5,9 386.0,10 057.5
Korea,,,,,,,10 582.9,11 076.9,11 689.3,12 693.9,13 469.1,13 277.6
Latvia,5 085.7,4 757.7,4 931.4,5 007.3,6 015.6,6 576.8,6 728.5,6 585.0,6 375.5,6 624.9,7 082.7,7 142.3
Lithuania,,4 776.0,4 880.6,4 904.6,5 175.6,5 288.8,5 521.9,6 171.0,6 327.5,6 458.3,7 347.7,8 173.2
Luxembourg,,,,19 824.3,17 942.3,20 607.5,21 152.5,18 326.1,19 600.5,20 395.0,22 739.5,22 990.2
Mexico,2 257.6,2 406.4,2 619.3,2 656.0,2 762.3,2 879.9,2 948.2,3 044.8,2 768.7,2 933.9,2 972.5,2 749.8
Netherlands,7 700.3,7 732.1,7 856.6,8 068.5,8 675.0,8 394.1,8 526.1,8 768.7,9 257.1,9 877.8,10 357.1,11 188.0
New Zealand,5 608.0,5 735.4,5 833.6,5 876.0,6 166.7,6 308.9,6 340.8,6 691.9,6 939.7,7 001.5,7 639.3,8 438.4
Norway,12 635.7,12 932.6,13 101.6,12 602.6,13 370.1,13 151.4,13 008.9,12 879.8,14 150.9,15 431.2,15 899.8,15 630.8
OECD - Average,7 053.4,7 272.5,6 803.6,7 924.4,7 962.5,8 180.2,8 291.2,8 598.9,9 008.8,9 488.9,10 187.3,10 657.6
Poland,5 231.5,5 992.0,6 119.4,6 579.9,6 932.5,7 038.8,6 818.8,6 943.3,7 781.8,8 555.0,9 279.7,11 871.8
Portugal,6 814.3,,,6 437.3,7 768.0,7 909.3,7 416.2,7 828.8,8 755.4,8 811.5,9 272.0,9 339.7
Romania,,,,1 932.2,2 112.4,1 880.5,1 942.1,1 915.9,2 176.8,2 440.7,3 097.5,3 188.3
