country_name,year1,year2
Australia,10157,11362
Austria,12677,13684
Belgium,10994,12041
Bulgaria,3373,4557
Canada,10174,10674
Chile,5948,6114
Czechia,5948,7758
Denmark,12479,13593
Estonia,7329,9660
Finland,9631,10888
France,8280,9602
Germany,9518,10955
Greece,6095,7467
Hungary,5423,8515
Iceland,13153,14743
Ireland,8180,8915
Israel,9124,9524
Italy,9115,10909
Japan,8847,9386
Korea,11689,13469
Latvia,6375,7083
Lithuania,6328,7348
Luxembourg,19600,22739
Mexico,2769,2973
Netherlands,9257,10357
New Zealand,6940,7639
Norway,14151,15900
Poland,7782,9280
Portugal,8755,9272
Romania,2177,3097
Slovak Republic,6655,8309
Slovenia,9021,9868
Spain,8151,8863
Sweden,12446,13671
United Kingdom,11562,12087
United States,12592,13780
