secondary
country_name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,3 890.3,3 905.5,4 401.6,,,,,,,,,
Australia,10 973.4,11 414.9,11 167.5,10 769.1,11 668.8,11 732.9,12 278.6,11 658.9,12 539.7,14 181.4,14 146.5,15 437.4
Austria,,,,14 132.2,15 040.4,15 035.5,15 481.8,16 573.7,16 604.8,16 718.2,17 371.3,17 478.3
Belgium,9 894.0,10 457.5,10 786.3,12 213.1,12 786.9,13 011.7,13 168.8,13 773.9,14 452.9,14 731.6,15 491.1,16 575.8
Bulgaria,,,,2 888.1,3 190.0,3 483.2,3 422.1,3 740.8,4 112.7,4 654.1,5 513.1,6 232.4
Canada,,,15 196.5,12 158.5,12 509.9,12 705.0,13 558.9,14 520.6,13 804.1,14 474.3,14 707.5,14 519.7
Chile,3 143.8,3 230.7,3 594.7,4 506.7,4 274.1,4 218.9,4 335.7,4 991.0,5 814.9,6 534.7,6 096.6,5 867.6
Colombia,1 940.0,,2 055.5,2 250.7,2 587.2,2 673.5,2 568.5,2 745.9,2 942.6,3 448.6,3 780.5,4 341.3
Costa Rica,,,,,4 278.6,,,,,,,
Croatia,,,,4 401.4,4 419.0,4 657.1,,5 800.9,6 479.3,7 166.1,7 890.4,8 229.9
Czechia,,,,7 543.0,7 803.2,8 167.0,8 530.1,8 580.7,9 628.8,11 191.8,12 748.7,12 579.1
Denmark,,,,11 274.0,11 546.9,13 368.4,,12 071.9,12 625.5,13 295.3,13 881.8,14 124.9
Estonia,,,,7 014.3,6 522.7,6 574.9,6 881.7,6 959.0,7 332.6,8 486.7,8 710.9,8 522.5
Finland,,,,10 087.3,10 323.0,10 377.1,10 499.0,10 643.5,10 452.1,11 033.3,12 245.6,12 849.5
France,10 782.4,11 041.9,11 039.2,11 122.4,11 622.6,11 787.1,11 821.9,12 327.7,12 687.0,12 993.3,13 896.2,13 874.5
Germany,,,,10 643.0,11 161.3,11 704.7,11 828.0,12 548.6,13 207.6,13 949.6,14 841.8,15 613.7
Greece,,,,6 742.9,7 008.0,6 940.0,6 799.6,6 915.9,6 801.4,7 100.9,6 901.1,
Hungary,,,,4 500.2,4 285.5,6 075.2,5 905.9,7 314.7,6 782.5,7 330.3,8 066.5,7 772.1
Iceland,,,,8 617.9,9 138.7,10 063.1,11 169.5,11 731.8,13 319.1,14 455.9,15 553.2,15 242.4
Ireland,,,,11 398.9,10 929.9,10 626.2,10 235.4,10 174.6,9 405.6,10 619.7,10 655.6,11 378.7
Israel,5 392.0,5 454.3,5 833.3,7 165.8,7 545.6,7 633.5,7 851.2,8 533.6,9 010.4,9 418.4,9 529.9,9 562.1
Italy,,,,8 758.6,8 936.1,8 789.0,9 128.3,9 367.2,10 522.9,11 938.6,10 896.8,10 569.2
Japan,,,,10 430.0,10 652.1,,11 068.7,10 913.1,11 053.5,11 280.6,11 501.4,12 047.0
Korea,,,,,,,11 701.1,12 423.4,13 564.9,15 168.0,17 241.5,17 038.0
Latvia,5 041.4,4 746.2,4 967.8,5 162.9,5 903.2,6 627.3,6 988.8,6 900.1,7 098.6,7 471.1,8 138.8,8 302.3
Lithuania,,4 451.5,4 648.1,4 649.4,5 005.6,5 282.9,5 208.1,5 763.3,5 985.1,6 509.7,7 484.0,8 425.8
Luxembourg,,,,20 392.4,19 703.7,21 554.3,20 667.0,21 958.6,22 620.8,23 376.0,25 333.4,26 617.1
Mexico,2 620.2,2 716.2,2 894.5,3 033.9,3 115.5,3 201.3,3 208.9,3 256.1,2 809.8,2 854.6,2 883.9,2 769.6
Netherlands,11 488.5,11 682.5,11 872.6,12 162.9,12 821.1,12 435.4,12 923.3,13 246.3,13 823.9,14 706.9,15 206.1,15 847.6
New Zealand,6 763.5,6 943.0,7 230.7,7 312.9,7 672.7,7 878.6,7 910.8,8 366.1,8 657.0,8 672.0,9 412.1,10 223.4
Norway,,,,14 370.7,15 370.4,15 201.4,15 092.4,15 167.9,16 013.0,16 463.8,16 789.9,17 229.3
OECD - Average,,,,9 241.3,9 216.2,9 599.0,9 668.0,10 174.2,10 510.0,11 135.8,11 697.5,11 942.4
Poland,4 811.9,5 422.0,5 718.3,6 200.8,6 440.3,6 707.3,6 868.2,7 265.9,7 552.7,8 213.7,9 010.0,8 484.6
Portugal,,,,9 799.7,11 081.3,10 746.5,9 564.8,10 181.0,10 707.6,10 999.6,11 509.4,11 357.8
Romania,,,,2 431.7,2 737.7,3 422.0,3 803.8,3 686.4,4 361.3,5 081.8,6 559.5,6 600.3
Russia,,4 023.2,5 877.2,4 928.2,5 367.5,5 005.3,4 370.4,4 276.2,5 365.4,5 733.6,,
Slovak Republic,,,,5 300.2,5 870.4,6 420.7,6 675.5,6 302.5,6 475.9,6 804.2,7 773.5,8 545.8
Slovenia,,,,8 443.1,8 660.6,8 553.5,8 328.4,8 660.9,9 328.5,9 783.1,10 484.5,10 450.0
Spain,9 908.9,9 488.4,9 330.9,8 866.7,8 488.1,8 531.7,9 061.9,9 692.0,10 122.1,10 292.4,11 058.9,11 159.4
Sweden,,,,11 395.1,11 965.7,11 786.6,11 994.1,12 628.2,12 968.5,13 492.2,13 751.1,13 901.9
Switzerland,,,,17 872.0,,,,11 732.5,11 370.6,11 425.8,11 685.1,
Türkiye,,,3 374.8,3 788.6,4 178.0,4 619.9,4 980.9,5 586.3,4 820.3,5 061.1,5 280.2,4 602.6
United Kingdom,,,,9 999.1,12 138.6,12 352.2,10 644.2,11 122.8,11 550.4,12 687.3,13 205.5,13 695.4
United States,12 416.1,12 560.9,12 425.2,12 606.5,12 746.7,12 981.3,13 448.4,13 845.8,14 411.5,14 858.7,15 537.5,16 018.5
