country_name,year1,year2
Australia,11732.9,14181.4
Austria,15035.5,16718.2
Belgium,13011.7,14731.6
Bulgaria,3483.2,4654.1
Canada,12705.0,14474.3
Chile,4218.9,6534.7
Colombia,2673.5,3448.6
Croatia,4657.1,7166.1
Czechia,8167.0,11191.8
Denmark,13368.4,13295.3
Estonia,6574.9,8486.7
Finland,10377.1,11033.3
France,11787.1,12993.3
Germany,11704.7,13949.6
Greece,6940.0,7100.9
Hungary,6075.2,7330.3
Iceland,10063.1,14455.9
Ireland,10626.2,10619.7
Israel,7633.5,9418.4
Italy,8789.0,11938.6
Latvia,6627.3,7471.1
Lithuania,5282.9,6509.7
Luxembourg,21554.3,23376.0
Mexico,3201.3,2854.6
Netherlands,12435.4,14706.9
NewZealand,7878.6,8672.0
Norway,15201.4,16463.8
OECD-Average,9599.0,11135.8
Poland,6707.3,8213.7
Portugal,10746.5,10999.6
Romania,3422.0,5081.8
SlovakRepublic,6420.7,6804.2
Slovenia,8553.5,9783.1
Spain,8531.7,10292.4
Sweden,11786.6,13492.2
Türkiye,4619.9,5061.1
UnitedKingdom,12352.2,12687.3
UnitedStates,12981.3,14858.7
