country_name,year1,year2
Australia,12540,14146
Austria,16605,17371
Belgium,14453,15491
Bulgaria,4113,5513
Canada,13804,14708
Chile,5815,6097
Czechia,9629,12749
Denmark,12626,13882
Estonia,7333,8711
Finland,10452,12246
France,12687,13896
Germany,13208,14842
Greece,6801,6901
Hungary,6783,8066
Iceland,13319,15553
Ireland,9406,10656
Israel,9010,9530
Italy,10523,10897
Japan,11054,11501
Korea,13565,17242
Latvia,7099,8139
Lithuania,5985,7484
Luxembourg,22621,25333
Mexico,2810,2884
Netherlands,13824,15206
New Zealand,8657,9412
Norway,16013,16790
Poland,7553,9010
Portugal,10708,11509
Romania,4361,6560
Slovak Republic,6476,7773
Slovenia,9328,10484
Spain,10122,11059
Sweden,12968,13751
United Kingdom,11550,13205
United States,14411,15538
