Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Africa Eastern and Southern,AFE,3.74496006965637,4.00578022003174,3.87146997451782,..,4.28008008003235,..,4.49659013748169,4.63901448249817,4.93121004104614,4.68991708755493,4.7172999382019,4.74350023269653,4.69199991226196,4.82044506072998,4.73974990844727,4.54195022583008,4.35243988037109,4.63225483894348,3.90622544288635,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Africa Western and Central,AFW,2.42760503292084,2.65659999847412,2.55852007865906,2.73747003078461,2.49827003479004,2.90790009498596,3.0144100189209,2.77200508117676,2.88159990310669,3.02971005439758,2.91422998905181,3.19542145729065,2.89910006523132,3.53558993339539,3.07154297828674,3.10023534297943,3.40395033359527,3.2829704284668,2.92844331264496,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Arab World,ARB,5.02110004425048,..,3.93055999279022,..,4.33701992034912,..,..,..,4.12477493286132,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Caribbean small states,CSS,3.91254997253418,4.61641979217529,..,5.49022006988525,6.19131994247437,6.19848012924194,6.37060022354126,6.26664018630981,4.37114381790161,4.46242141723633,4.29359543323516,4.30185985565185,4.54088020324707,4.28120589256287,4.31529986858368,4.38114428520202,4.91213750839233,4.32000994682312,4.07994532585144,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Central Europe and the Baltics,CEB,4.83406019210815,4.81026983261108,4.82572984695435,4.59521007537842,4.83990001678467,4.94636011123657,4.72375011444092,4.5631799697876,4.71772003173828,4.53844022750854,4.48657989501953,4.81700992584229,4.65749979019165,4.07527017593384,4.24356985092163,4.27319002151489,4.72159004211426,5.00158405303955,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Early-demographic dividend,EAR,3.5786600112915,..,4.20910000801087,3.6185849905014,4.12538993358612,4.42207002639771,4.02741503715515,4.07831501960754,4.40412497520446,4.42167997360229,4.08329010009766,3.96933007240295,3.88637781143188,3.93130993843079,3.75143003463745,3.48775553703308,4.10229253768921,3.88108062744141,3.6928540468216,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,East Asia & Pacific,EAS,3.65276002883911,..,..,3.17887997627258,3.50850009918213,3.88776075839996,3.59951996803284,3.60527992248535,3.64741992950439,3.76031994819641,3.56207001209259,3.58360004425049,3.56997132301331,3.44198906421661,3.31080508232117,3.3557915687561,3.61649155616761,3.29784345626831,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,East Asia & Pacific (excluding high income),EAP,2.74847006797791,..,..,3.06133496761322,3.57014417648316,3.80673098564148,3.75464248657227,3.65109753608704,3.77050626277923,3.76743745803833,3.54012298583984,3.58360004425049,3.56997132301331,3.44198906421661,3.24653208255768,3.08499836921692,3.53199052810669,3.01688218116761,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,East Asia & Pacific (IDA & IBRD),TEA,2.74847006797791,..,..,3.06133496761322,3.57014417648316,3.80673098564148,3.75464248657227,3.65109753608704,3.77050626277923,3.76743745803833,3.54012298583984,3.58360004425049,3.56997132301331,3.44198906421661,3.24653208255768,3.08499836921692,3.53199052810669,3.01688218116761,3.20184195041656,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Euro area,EMU,5.04638004302979,4.87839984893799,4.90767002105713,4.71541023254395,5.10951995849609,5.56314992904663,5.45078992843628,5.11838006973267,5.17981505393982,5.33834981918335,5.20261502265931,5.026859998703,4.8159499168396,4.91657495498657,4.93455982208252,5.00662994384765,5.38651990890503,4.98649978637695,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Europe & Central Asia,ECS,4.83406019210815,4.87839984893799,4.90767002105713,4.63328981399536,4.83990001678467,4.96806502342224,5.03881978988647,4.8969202041626,4.88011002540589,4.93538999557495,4.92579507827759,4.90953016281128,4.83923006057739,4.78053998947144,4.67667984962464,4.65441513061523,4.86263990402222,5.00158405303955,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Europe & Central Asia (excluding high income),ECA,3.33761000633239,3.64203000068665,3.63488006591797,3.54680502414704,3.80548799037933,4.27429008483887,3.8476243019104,3.93511009216309,3.95983362197876,4.05822992324829,4.04196643829346,3.91208434104919,3.96209001541138,4.32368993759155,4.30003976821899,4.05669510364532,4.38912677764892,4.43917083740234,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Europe & Central Asia (IDA & IBRD),TEC,3.44770002365112,3.77192997932434,3.90346002578735,3.97731995582581,4.10174989700317,4.32161498069764,3.85279715061187,4.03038001060486,4.01803016662598,4.20151996612549,4.07005310058594,4.11714208126068,4.29491496086121,4.1994800567627,4.17266488075256,3.95437002182007,4.43442010879517,4.49264764785767,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,European Union,EUU,5.04638004302979,5.07394981384277,5.00697135925293,4.71541023254395,5.02904987335205,5.52265977859497,5.20246005058289,5.04305505752563,4.93892502784729,4.97831511497498,5.04528498649598,4.93930768966675,4.8159499168396,4.69770503044129,4.62343978881836,4.65441513061523,4.87656021118164,5.00158405303955,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,3.41166996955871,3.60811996459961,3.3331550359726,3.57199490070343,3.6717050075531,3.47633492946625,3.02660501003266,3.78976988792419,3.0132200717926,3.54063856601715,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Heavily indebted poor countries (HIPC),HPC,2.81261992454529,2.8372700214386,2.8199999332428,..,2.75020003318786,3.13160502910614,3.34388995170593,3.12436997890473,3.3106449842453,3.45445990562439,3.32569003105164,3.57060992717743,3.28257989883423,3.63261497020722,3.39011991024017,3.4834486246109,3.59930491447449,3.37276005744934,3.09289181232452,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,High income,HIC,5.04638004302979,4.91179490089417,4.87443995475769,4.68453001976014,4.87298512458801,5.05902004241943,5.29786014556885,5.04131507873536,4.86667013168335,4.91392993927002,4.93057012557983,4.90671515464783,4.81154012680054,4.78053998947144,4.67515993118286,4.68173503875733,4.87656021118164,4.98649978637695,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IBRD only,IBD,3.86734998226166,3.9797899723053,3.95924997329712,3.83096492290497,4.10174989700317,4.42976570129395,3.95195496082306,3.98013496398926,4.16420984268188,4.18072319030762,4.25138568878174,4.16068077087402,3.96209001541138,4.13007760047912,3.99742722511292,3.91623997688293,4.34224486351013,3.74731349945068,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA & IBRD total,IBT,3.35254001617432,3.51715505123139,3.75944495201111,3.60984992980957,3.85946500301361,4.0983099937439,3.67997002601624,3.7681736946106,3.70372116565705,3.7826600074768,3.82416009902954,3.84400498867035,3.76738393306732,3.78976988792419,3.70673000812531,3.60755932331085,4.09056520462036,3.68296098709107,3.58140361309052,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA blend,IDB,2.54171502590179,2.35311996936798,..,..,..,..,3.83175992965698,4.70012998580933,4.93121004104614,5.01388120651245,4.7172999382019,4.01304006576538,5.05284810066223,4.70680499076843,3.0132200717926,3.86801564693451,4.13952028751373,3.32451999187469,2.95159220695496,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA only,IDX,2.91176009178162,3.3371399641037,3.00991988182068,3.07841992378235,3.2510449886322,3.1739399433136,3.34388995170593,3.12436997890473,3.3106449842453,3.25525999069214,3.31416988372803,3.39419174194336,3.22929000854492,3.53362989425659,3.457279920578,3.44067001342773,3.40915989875793,3.37276005744934,3.21092677116394,..
