Series Name,Country Name,Country Code,Year,Value
"Government expenditure on education, total (% of GDP)",Africa Eastern and Southern,AFE,2004,3.74496006965637
"Government expenditure on education, total (% of GDP)",Africa Western and Central,AFW,2004,2.42760503292084
"Government expenditure on education, total (% of GDP)",Arab World,ARB,2004,5.02110004425048
"Government expenditure on education, total (% of GDP)",Caribbean small states,CSS,2004,3.91254997253418
"Government expenditure on education, total (% of GDP)",Central Europe and the Baltics,CEB,2004,4.83406019210815
"Government expenditure on education, total (% of GDP)",Early-demographic dividend,EAR,2004,3.5786600112915
"Government expenditure on education, total (% of GDP)",East Asia & Pacific,EAS,2004,3.65276002883911
"Government expenditure on education, total (% of GDP)",East Asia & Pacific (excluding high income),EAP,2004,2.74847006797791
"Government expenditure on education, total (% of GDP)",East Asia & Pacific (IDA & IBRD),TEA,2004,2.74847006797791
"Government expenditure on education, total (% of GDP)",Euro area,EMU,2004,5.04638004302979
"Government expenditure on education, total (% of GDP)",Europe & Central Asia,ECS,2004,4.83406019210815
"Government expenditure on education, total (% of GDP)",Europe & Central Asia (excluding high income),ECA,2004,3.33761000633239
"Government expenditure on education, total (% of GDP)",Europe & Central Asia (IDA & IBRD),TEC,2004,3.44770002365112
"Government expenditure on education, total (% of GDP)",European Union,EUU,2004,5.04638004302979
"Government expenditure on education, total (% of GDP)",Heavily indebted poor countries (HIPC),HPC,2004,2.81261992454529
"Government expenditure on education, total (% of GDP)",High income,HIC,2004,5.04638004302979
"Government expenditure on education, total (% of GDP)",IBRD only,IBD,2004,3.86734998226166
"Government expenditure on education, total (% of GDP)",IDA & IBRD total,IBT,2004,3.35254001617432
"Government expenditure on education, total (% of GDP)",IDA blend,IDB,2004,2.54171502590179
"Government expenditure on education, total (% of GDP)",IDA only,IDX,2004,2.91176009178162
"Government expenditure on education, total (% of GDP)",IDA total,IDA,2004,2.81261992454529
"Government expenditure on education, total (% of GDP)",Late-demographic dividend,LTE,2004,4.07934999465942
"Government expenditure on education, total (% of GDP)",Latin America & Caribbean,LCN,2004,3.91254997253418
"Government expenditure on education, total (% of GDP)",Latin America & Caribbean (excluding high income),LAC,2004,4.02691495418548
"Government expenditure on education, total (% of GDP)",Latin America & Caribbean (IDA & IBRD),TLA,2004,3.74560499191284
"Government expenditure on education, total (% of GDP)",Least developed countries: UN classification,LDC,2004,2.6897599697113
"Government expenditure on education, total (% of GDP)",Low & middle income,LMY,2004,3.33961999416351
"Government expenditure on education, total (% of GDP)",Low income,LIC,2004,3.14794993400573
"Government expenditure on education, total (% of GDP)",Lower middle income,LMC,2004,3.07778000831604
"Government expenditure on education, total (% of GDP)",Middle East & North Africa,MEA,2004,5.45327496528625
"Government expenditure on education, total (% of GDP)",Middle East & North Africa (excluding high income),MNA,2004,5.02110004425048
"Government expenditure on education, total (% of GDP)",Middle East & North Africa (IDA & IBRD),TMN,2004,5.02110004425048
"Government expenditure on education, total (% of GDP)",Middle income,MIC,2004,3.46711003780365
"Government expenditure on education, total (% of GDP)",North America,NAC,2004,6.2537636756897
